Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"re : 6 . 1100 , disc : uniformitarianism , re : 1086 ; sex / lang dick hudson 's observations on us use of 's on ' but not 'd aughter ' as a vocative are very thought-provoking , but i am not sure that it is fair to attribute this to "" sons "" being "" treated like senior relatives "" . for one thing , we do n't normally use ' brother ' in this way any more than we do 'd aughter ' , and it is hard to imagine a natural class comprising senior relatives and 's on ' but excluding ' brother ' . for ano",Safe Email,no,no,It appears to be an academic linguistics discussion excerpt with no requests for sensitive data or links and no obvious phishing cues.,70
"the other side of * galicismos * * galicismo * is a spanish term which names the improper introduction of french words which are spanish sounding and thus very deceptive to the ear . * galicismo * is often considered to be a * barbarismo * . what would be the term which designates the opposite phenomenon , that is unlawful words of spanish origin which may have crept into french ? can someone provide examples ? thank you joseph m kozono < kozonoj @ gunet . georgetown . edu >",Safe Email,no,no,"It appears to be a benign academic inquiry about linguistic terms, with no request for sensitive data, payment, or urgent action, and no obvious phishing cues.",72
"re : equistar deal tickets are you still available to assist robert with entering the new deal tickets for equistar ? after talking with bryan hull and anita luong , kyle and i decided we only need 1 additional sale ticket and 1 additional buyback ticket set up . - - - - - - - - - - - - - - - - - - - - - - forwarded by tina valadez / hou / ect on 04 / 06 / 2000 12 : 56 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : robert e lloyd on 04 / 06 / 2000 12 : 40 pm to : tina valadez / ",Safe Email,no,no,It appears to be an ordinary internal business email about deal tickets; no suspicious links or credential requests.,60
"Hello I am your hot lil horny toy.
    I am the one you dream About,
    I am a very open minded person,
    Love to talk about and any subject.
    Fantasy is my way of life, 
    Ultimate in sex play.     Ummmmmmmmmmmmmm
     I am Wet and ready for you.     It is not your looks but your imagination that matters most,
     With My sexy voice I can make your dream come true...
  
     Hurry Up! call me let me Cummmmm for you..........................
TOLL-FREE:             1-877-451-TEEN (1-877-",Phishing Email,no,yes,"It's explicit sexual spam/advertising; no credential, link, or payment data request, so not phishing.",70
"software at incredibly low prices ( 86 % lower ) . drapery seventeen term represent any sing . feet wild break able build . tail , send subtract represent . job cow student inch gave . let still warm , family draw , land book . glass plan include . sentence is , hat silent nothing . order , wild famous long their . inch such , saw , person , save . face , especially sentence science . certain , cry does . two depend yes , written carry .",Phishing Email,no,yes,"The content shows random gibberish with no links, sender, or request for sensitive data, so it doesn't exhibit typical phishing cues.",65
"global risk management operations sally congratulations on your new role . if you were not already aware , i am now in rac in houston and i suspect our responsibilities will mean we will talk on occasion . i look forward to that . best regards david - - - - - - - - - - - - - - - - - - - - - - forwarded by david port / lon / ect on 18 / 01 / 2000 14 : 16 - - - - - - - - - - - - - - - - - - - - - - - - - - - enron capital & trade resources corp . from : rick causey @ enron 18 / 01 / 2000 00 : 04 s",Safe Email,no,no,"It appears to be an internal Enron email with forwarding metadata; lacks phishing cues like links, credential requests, or urgent action.",65
"On Sun, Aug 11, 2002 at 11:17:47AM +0100, wintermute mentioned:
> > The impression I get from reading lkml the odd time is
> > that IDE has gone downhill since Andre Hedrick was 
> > effectively removed as maintainer. Martin Dalecki seems
> > to have been unable to further development without 
> > much breakage. 
> 
> Hmm... begs the question, why remove Handrick?
> If it ain't broke, don't fix it. See, the IDE subsystem is like the One Ring. It's kludginess, due to
having to support hundreds of",Safe Email,no,no,"It's a technical Linux kernel mailing list discussion about IDE maintenance; no credential requests, malicious links, or data exfiltration.",85
"entourage , stockmogul newsletter ralph velez , genex pharmaceutical , inc . ( otcbb : genx ) biotech sizzle with sales and earnings ! treating bone related injuries in china revenues three months ended june 30 , 2004 : $ 525 , 750 vs . $ 98 , 763 year ago period net income three months ended june 30 , 2004 : $ 151 , 904 vs . ( $ 23 , 929 ) year ago period ( source : 10 q 8 / 16 / 04 ) look how these chinese companies trading in the usa did and what they would ' ve made your portfolio look like ",Phishing Email,yes,yes,Promotional stock newsletter with dubious sourcing and outdated data; lacks verification and legitimate sender.,68
"we owe you lots of money dear applicant , after further review upon receiving your application your current mortgage qualifies for a 3 % lower rate . your new monthly payment will be as low as $ 340 / month for a $ 200 , 000 loan . please confirm your information in order for us to finalize your loan , or you may also apply for a new one . complete the final steps by visiting our 60 second form we look foward to working with you . thank you , nicole staley , account manager logan and associates ",Phishing Email,yes,yes,"Unsolicited mortgage offer with a generic greeting, asks to confirm personal information via a form—common phishing tactic.",85
"re : coastal deal - with exxon participation under the project agreement thanks for the info ! as greg mentioned in the staff meeting today , the intent is that this restructured deal is papered effective 4 / 1 / 00 . the impact is potentially that the gas is not pathed properly by counterparty or on the appropriate transport / gathering agreements , etc . if any rates are changing , then those need to be changed in our systems also . there may be other areas of changes also - i ' m not attempti",Safe Email,no,no,"Appears to be a routine internal business email about a restructuring with Exxon; no links, no requests for credentials or sensitive data.",70
"make her beg you to give it to her everynight you too can please you and your partner so much better . and it doesn ' t take half a year like other solutions . if you don ' t trust me , trust the new york times , newsweek , time magazine , and the testemonials of many people all over the net . look , if anything else check out the site and see the facts for yourself its new , its safe ! its the most advanced penile enlargement solution ! it ' s 100 % guaranteed to enlarge your penis . 3 + inches",Phishing Email,yes,yes,"Promotional spam with dubious guarantees and fake trust signals; urges you to visit a site and click through, a common phishing tactic.",78
"URL: http://www.newsisfree.com/click/-5,8304313,1717/
Date: 2002-09-27T08:51:29+01:00[IMG: http://www.newsisfree.com/Images/fark/cbc.ca.gif ([CBC])]",Safe Email,yes,no,Unfamiliar click-through URL on a tracking domain (newsisfree.com) with an image spoofing CBC; lacks sender context.,70
"begin forwarded text Date: Wed, 25 Sep 2002 13:57:15 -0400 To: Digital Bearer Settlement List From: ""R. A. Hettinga"" Subject: California needs intelligent energy deregulation Sender: http://www.siliconvalley.com/mld/siliconvalley/4144696.htm?template=contentModules/printstory.jspPosted on Tue, Sep. 24, 2002 Dan Gillmor: State needs intelligent energy deregulationBy Dan Gillmor Mercury News Technology ColumnistThe facts were trade and government secrets at the time. But the energy industry failed",Safe Email,no,no,It appears to be a forwarded news item from a legitimate domain with no request for sensitive data or urgent action.,60
"re : fyi - wellhead portfolio who is considered to be on greg sharp ' s orig team ? if they have deals in the wellhead portfolio , do we need to move them out ? just double checking . dave - - - - - - - - - - - - - - - - - - - - - - forwarded by david baumbach / hou / ect on 04 / 11 / 2000 10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : brenda f herod 04 / 11 / 2000 10 : 09 am to : david baumbach / hou / ect @ ect cc : subject : re : fyi - wellh",Safe Email,no,no,It's an internal corporate email with standard headers; no suspicious links or credential requests.,70
"rmmla / ads * * * * * * * * papers solicited for the 1998 rmmla conference * * * * * * * * * conjoint meeting : american dialect society : session chair , simonie hodges georgetown university 2525 farmcrest dr . # 328 herndon , va 20171 usa this session showcases papers on various aspects of american dialects . examples of previous paper topics include : dialects of utah , the use of formal and informal pronouns "" you "" in spanish speaking cities , jamaican english in historical plays , and swee",Safe Email,no,no,"It resembles a dated academic conference call-for-papers notice, with topics and an address rather than requests for sensitive data or credentials.",65
"re : testing ir & fx var nick and winston , i understand that ir & fx var numbers are calculated every day in risktrac . this results are overwritten everyday in the database table by the official numbers calculated with the old version of the code . for the consistent testing we need historical results for each ir and fx sub - portfolio . can we store the numbers every day ? tanya",Safe Email,no,no,"It's an internal, non-urgent data-testing request about storing historical portfolio numbers; no links, no credential requests.",75
"The academic discipline of Software Engineering was launched at a conference
sponsored by NATO, at Garmisch, Germany, in October, 1968. Intriguingly, the
term Software Engineering was chosen to be deliberately provocative -- why
can't software be developed with the same rigor used by other engineering
disciplines?The proceedings of this conference are now available online, at:
http://www.cs.ncl.ac.uk/old/people/brian.randell/home.formal/NATO/index.htmlAlso, don't miss the pictures of attendees, ",Safe Email,no,no,It presents historical content and a university link; no request for credentials or urgency.,75
"re : 3 . 402 queries : language - speakers , syntax , texts i would like to address the issue of "" who speaks languages ? "" it seems to me that this is a big problem . while linguists study structures of various kinds , language teachers study literature , and , if they ' re lucky , pedagogy ( very few graduate schools offer any theoretical orientation to teaching to literature students , which is where most college language teachers come from ) . thus many college language teachers must teach w",Safe Email,no,no,"The text appears to be a normal academic discussion about linguistics and language teaching, with no request for sensitive data, no links, or urgency typical of phishing.",75
"a resume john , this is a resume i received today from my friend . please , take a look at it . what follows below is a copy of his message to me : dear vincent , i very much would like to ask you for a career advice . i am looking for new challenges and new professional opportunities . possibly there would be such opportunity around yourself at enron corporation . i trust that my strongest asset is my intellectual capital and ability to look from new angles into complex issues . beside of the e",Safe Email,no,no,"It appears to be a normal forwarded email from a friend asking for career advice, mentioning a possible opportunity, and contains no links or requests for sensitive information.",70
"EFFector       Vol. 15, No. 35       November 8, 2002     ren@eff.orgA Publication of the Electronic Frontier Foundation     ISSN 1062-9424In the 234th Issue of EFFector:    * ALERT UPDATE: Urge Your Representative to Co-Sponsor the DMCRA!
    * ALERT: Bait and Switch: Anticounterfeiting Bill Hurts Your 
      Rights!
    * Canadian Trademark Law Overreaching
    * Give Twice as Many Gifts this Holiday Season!
    * Deep Links (4): Security Technologies Could Backfire Against 
      Consumers
  ",Safe Email,no,no,It's a legitimate newsletter issue from EFF with standard topics; no request for sensitive info; contact domain appears legitimate.,78
